X,Y,amenity,operator,name,name:en,int_name,opening_hours,addr:city,addr:city:en,addr:country,addr:postcode,addr:street,brand,addr:housenumber,drive_through,wheelchair
21.6174009,41.9378936,atm,,,,,,,,,,,,,,
21.6274421,41.9611559,atm,,Охридска банка,Ohridska banka,,24/7,,,,,,,,,
21.6274288,41.9612077,atm,,Уни,Uni,,,,,,,,,,,
22.7734193,41.9721268,atm,Blagoj Zlatkovski,,,,Mo-Sa 08:00-18:00,,,,,,,,,
20.5927251,41.2403003,atm,,,,,,,,,,,,,,
20.8019766,41.0587409,atm,,,,,,,,,,,,,,
21.5518064,41.3460907,atm,,,,,,,,,,,,,,
21.5543192,41.3445751,atm,Silk Road,,,,,,,,,,,,,
20.608162,41.0652285,atm,,,,,,,,,,,,,,
20.8058637,41.1106354,atm,Комерцијална Банка,,,,,,,,,,,,,
21.5162286,41.9393455,atm,,,,,,,,,,,,,,
21.3959333,41.9944772,atm,НЛБ - Тутунска Банка,НЛБ Тутунска Банка,NLB Tutunska Banka,NLB Tutunska Banka,,,,,,,,,,
21.3959313,41.9944722,atm,Стопанска Банка АД - Скопје,Стопанска Банка,Stopanska Banka,Stopanska Banka,24/7,,,,,,,,,
21.3924412,41.9983327,atm,НЛБ - Тутунска Банка,,,,24/7,,,,,,НЛБ - Тутунска Банка,,,
21.3916984,42.0005737,atm,Комерцијална Банка АД Скопје,Комерцијална Банка,Komercijalna Banka,Komercijalna Banka,24/7,,,,,,,,,
21.3900584,42.0010181,atm,Стопанска Банка АД - Скопје,Стопанска Банка,Stopanska Banka,Stopanska Banka,,,,,,,,,,
21.3900585,42.0010817,atm,Комерцијална Банка АД Скопје,Комерцијална Банка,Komercijalna Banka,Komercijalna Banka,,,,,,,,,,
21.3900911,42.001081,atm,НЛБ - Тутунска Банка,НЛБ Тутунска Банка,NLB Tutunska Banka,NLB Tutunska Banka,,,,,,,,,,
21.3925292,42.0045813,atm,Шпаркасе Банка Македонија АД Скопје,Шпаркасе,Sparkasse,,,,,,,,,,,
21.3946845,42.0036936,atm,Стопанска Банка АД - Скопје,Стопанска Банка,Stopanska Banka,Stopanska Banka,,,,,,,,70b,,
21.4171593,42.0058046,atm,Уни Банка,,,,,,,,,,,,,
21.3847909,42.0043009,atm,Уни Банка,,,,,,,,,,,,,
21.3842855,42.0079825,atm,Уни Банка,,,,,,,,,,,,,
