X,Y,amenity,name,name:en,cuisine,addr:street,addr:postcode,internet_access,opening_hours,addr:city,name:mk,smoking,outdoor_seating,addr:housenumber,int_name,phone,takeaway,website,wheelchair,operator,addr:country,internet_access:fee,email,name:sq,addr:city:en,addr:street:en,drive_in,addr:housename,microbrewery,organic,delivery
21.4448074,41.9728434,cafe,Гет Кафе,Get caffe,,Христо Татарчев,1000,,Mo-Su 10:00-00:00,,Гет Кафе,,,,,,,,,,,,,,,,,,,,
21.4385091,41.9787578,restaurant,Ресторан Кум,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4440848,41.9754573,bar,Игротека Смајли,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4438183,41.9768256,restaurant,Журнал,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4444199,41.9768128,cafe,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4455687,41.9710708,restaurant,Ресторан Трпеза,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4456656,41.9732771,cafe,Bass Cafe,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
21.446234,41.9734649,cafe,Quatro Caffe,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
21.4456487,41.9775109,restaurant,Ексклузив,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3943158,41.9651051,cafe,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,
21.4212497,41.9495659,restaurant,Мулино Гарден,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3602078,41.9700886,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3909369,41.9751093,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4093282,41.9748528,restaurant,бимекс,,regional,,,yes,9:00-24:00,,,no,,,,,,,limited,,,no,,,,,,,,,
20.7206671,40.9030442,restaurant,Kashta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7208697,40.9031428,restaurant,Dallga,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7212838,40.9031754,restaurant,Sirena,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7404516,40.9138853,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7410279,40.9141308,restaurant,,St. Nahum,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7413464,40.9142257,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7422487,40.9145968,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.742799,40.9147002,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7430881,40.9146267,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7458417,40.9154158,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7698618,40.9158924,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.771611,40.9180328,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.772037,40.9188013,cafe,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,
20.7733609,40.9255638,cafe,,,regional;burger,,,no,,,,separated,,,,,,,,,,,,,,,,,,,
20.9144193,40.9390733,restaurant,Beach Bar Mystic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.915975,40.9383195,bar,Beach Summer Club Bar Delirium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7819982,40.9615847,restaurant,St. Tropez,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.7820426,40.9615088,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
