X,Y,amenity,building,name,addr:postcode,addr:city,cuisine,addr:street,name:en,addr:country,addr:city:en,addr:housenumber,int_name,smoking,outdoor_seating,opening_hours,website,phone,wheelchair,internet_access,addr:street:en,email,operator,name:mk,alt_name,building:levels,shop,takeaway,payment:maestro,payment:mastercard,payment:visa,capacity,delivery,microbrewery,name:sq,old_name,payment:coins,payment:notes,wifi
21.41299211,41.99487,restaurant,yes,Дукат,1000,Cкoпje,regional,Митрополит Теодосиј Гологанов,Gostilnica Dukat,MK,Skopje,79,,separated,yes,"Mo-Fr 08:00-24:00; Sa,Su 00:00-01:00,08:00-24:00",,+389 2 3211011,,,Mitroplit Teodosij Gologanov,gostilnicadukat@gmail.com,,,,,,,yes,yes,yes,,,,,,yes,yes,
21.41317264,41.9948012,restaurant,yes,Воденица,1000,Cкoпje,italian,,Vodenica Mulino,MK,Skopje,,,,,,www.vodenicamulino.com.mk,,,,,,,,,,,,,,,,,,,,,,
21.37357822,42.00745105,fast_food,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.73027871,42.15357791,restaurant,yes,Сателит 2000,,,,,Satelit 2000,,,,Satelit 2000,,,,,,,,,,,,,,,,,,,,,,,,,,
21.73098083,42.12730386,cafe,yes,Кеј,,,,,,,,,Kej,,,,,,,,,,,,,,,,,,,,,,,,,,
21.74463947,42.12164528,restaurant,yes,Стара Бања,,,,,,,,,Stara Banja,,,,,,,,,,,,,,,,,,,,,,,,,,
21.74570213,42.1217809,drinking_water,,Кисела Вода,,,,,,,,,Kisela Voda,,,,,,,,,,,,,,,,,,,,,,,,,,
20.95562503,41.50499285,restaurant,yes,Luna,,,regional,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
22.0555791,42.1027558,restaurant,commercial,Kuklica,,,regional,,Kuklica,,,,,,,,,,,,,,Куклица,Куклица,,,,,,,,,,,,,,,
21.52217553,41.34357092,restaurant,yes,Теракота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.00028418,42.1489109,restaurant,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.45268317,41.6515719,restaurant,yes,Ribnik,,,seafood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.69073165,41.8806852,fast_food,yes,Grill Bar,,,regional,,,,,,,outside,yes,,,,,,,,,,,,,,,,,,,,,,,,
21.5752234,41.99430765,restaurant,yes,Doma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.44148769,41.99444592,restaurant,yes,Ресторан Кej,1000,Cкoпje,,Кеј 13 Ноември,Restoran Kej,MK,Skopje,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.5907655,41.9908873,restaurant,yes,Black Pearl,,,regional,,,,,,,outside,yes,,,,,,,,,,,,,no,,,,,,,,,,,
21.46911209,41.96726541,restaurant,yes,Дениција,,,,Борис Трајковски,,,,174 А,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.46933405,41.96714475,restaurant,yes,Везилка,,,,Борис Трајковски,,,,174 А,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4919249,41.95195487,restaurant,yes,Ваташа пекара,,,,Борис Трајковски,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.83751775,41.76609358,restaurant,yes,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4259581,41.9898962,restaurant,yes,Јавна Соба,1000,Cкoпje,regional,50-та дивизија,Public Room,MK,Skopje,22,,no,,08:00-24:00,http://publicroom.org/contact.html,+389 2 6092650,,,50 Divizija,contact@publicroom.org,,,,,art,,,,,,,,,,,,
21.4374003,41.9931176,restaurant,yes,Kуќа,1000,Cкoпje,regional,,,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.56400445,41.34243805,restaurant,yes,Жито Прилеп II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.54756071,41.35112055,restaurant,yes,Страчатела I,,,,,,,,,,,,,,,,,,,,,,,confectionery,,,,,,,,,,,,
21.51741435,41.3152238,restaurant,yes,Романса,,,traditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.43724381,41.99148387,fast_food,yes,Zlatno petle,1000,Cкoпje,,,,MK,Skopje,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.35174117,41.3912335,restaurant,yes,Белов 113,,,,,Belov 113,,,,Belov 113,,,,,,,,,,,Белов 113,,,,,,,,,,,,,,,
21.3908,41.9996349,pub,yes,Кaфе бар Форца,1000,Cкoпje,regional,Лондонска,Forza Bar,MK,Skopje,бб,,separated,yes,"Mo-Su 00:00-01:00,08:00-24:00",www.forza.com.mk,+389 2 3060333,,,Londonska,info@forza.com.mk,,,,,,,,,,,,,,,,,
22.0908813,41.4824606,restaurant,yes,Пицерија Ема,,,pizza,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,
21.20227505,41.21757328,restaurant,yes,Бади,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.15712677,41.22846415,restaurant,yes,Вила Горна Куќа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4698856,42.00327115,cafe,residential,,,,,Јани Лукровски,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.19305179,41.73759135,fast_food,yes,Бамби 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1942055,41.7373042,restaurant,yes,,,,turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.19685999,41.73795795,bar,yes,Only Fools and Horses - Bar & Grill,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
20.96090634,41.98838453,restaurant,Multi_purpose_hall,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.96082583,41.98813574,restaurant,yes,600,,,balkan;pizza;burger,,SEEU Lounge,,,,,,,Mo-Su 08:00-23:00,,,,wlan,,,SEEU,,,,,,,,,,,,600 / Kantina (Bifeja),,,,
20.96081418,41.98795877,restaurant,yes,600,,,balkan;international,,,,,,,,,,,,yes,wlan,,,SEEU,,,,,,,,,,,,600 / Kantina (Bifeja),,,,
22.1813055,41.74802255,restaurant,yes,Меана за Мерак,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.18368506,41.74743835,restaurant,yes,Бисер Митре,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1834691,41.7475759,restaurant,yes,Ресторан Лонгуров,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1845729,41.7472817,restaurant,yes,Златна рипка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.86364164,41.94393292,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.20447775,41.21778135,restaurant,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.27048404,41.04109362,restaurant,yes,Гамур,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.34056521,41.01736985,restaurant,yes,Император,,,,,,,,,Imperator,,,,,,,,,,,,,,,,,,,,,,,,,,
21.39485041,42.03988329,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
