X,Y,amenity,name,name:en,addr:street,addr:postcode,opening_hours,addr:housenumber,smoking,addr:city,internet_access,outdoor_seating,name:mk,int_name,operator,website,addr:country,addr:city:en,addr:housename,addr:street:en,cuisine,phone,email,wheelchair,wifi,takeaway,cocktails,food,name:de
20.8636388,41.9439294,bar,Kafe te mullajni,,,,,,,,,,,,,,,,,,,,,,yes,,,,
20.927576,41.9386572,bar,Sinican,,102,,,,,,,,Sinican,,,,,,,,,,,,,,,,
22.0117213,41.4336468,pub,Toskano,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0116649,41.4348833,bar,Energi's,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0143629,41.4332378,bar,Kaj Roka,,,,,,,,,,,,,,,,,,,,,,,,,,
21.7781552,41.7175779,pub,,Pivnica Pub,Благој Ѓорев,1400,Mo-Su 09:00-00:00,28,,,wlan,,,,,,,,,,,0038943230212,pivnicapub@gmail.com,,,,,,
21.7833196,41.717557,bar,Езе Бар,Ezze Bar,,,,,,,,,,,,,,,,,,,,,,,,,
22.3330151,42.1999158,bar,,,,,,,,,wlan,,,,,,,,,,"burger;fish;breakfast;hotdog;ice_cream;cake;coffee_shop;balkan;chicken;fish_and_chips;diner;barbecue",,,,,,,,
21.4711307,41.9830723,bar,Coffeelix,,Булевар Јане Сандански,1000,Mo-Su 09:00-00:00,,,,,,,,,,,,,,coffee_shop,,,,,,,,
21.4755669,41.9799593,bar,Игротека Be Happy,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4762981,41.9815558,bar,Игротека Чекорче,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4868617,41.9834046,bar,Игротека Вини Пу,Grafikaprint,Тодор Чангов 41,1000,Mo-Fr 09:00-18:00,43,,,,,Графикапринт,,,http://www.grafikaprint.mm,,,,,,,info@grafikaprint.mk,,,,,,
21.4295835,41.9932203,bar,GastrotecaSiesta,,,,10:00-0:00,,,,,yes,,,GastrotecaSiesta,https://www.facebook.com/GastrotecaSiesta/,,,,,,,,,,,,,
21.4290413,41.9947622,bar,Centar Bar,,,1000,Mo-Su 09:00-23:00,,,,,,,,,,,,,,,,,,,,,,
21.426176,41.9955629,pub,Piazza Liberta,,,,,,,,,yes,Пјаца Либерта,,,http://piazzaliberta.mk/,,,,,,,,,,,,,
21.4268984,41.9964359,bar,Mr. Jack,,,,,,,,,yes,,,,,,,,,,,,,,,,,
21.4284187,41.9971537,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,SQUEEZE ME
21.4302534,41.9957302,pub,London Pub,,Никола Вапцаров,1000,,2/4,,Скопје,,,Паб „Лондон“,,Македонијатурист,,,,,,,,,,,,,,
21.4295352,41.9975241,bar,,,,,"Mo-Fr 08:00-01:00; Sa 09:00-01:00; Su 10:00-18:00",,,,,,,,,,,,,,,,,,,,,,
21.4304538,41.9981594,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4061819,42.0062605,bar,Minus Eden,,,,Tu-Sa 00:00-04:00,,,,,,,,,,,,,,,,,,,,,,
21.4138028,41.9947703,bar,нола Бар,Nola Bar,Митрополит Теодосиј Гологанов,1000,"Mo-Fr 09:00-24:00; Sa,Su 00:00-01:00,09:00-24:00",67,separated,Скопје,,yes,,,,http://hotelimakedonija.com.mk/en/Restaurant/1073/In-Vino-Restaurant,MK,Skopje,,Mitroplit Teodosij Gologanov,international,+389 2 2444542,,,,,,,
21.4147832,41.9964357,pub,Дринкерс Парадајз,Drinkers Paradise,Христо Смирненски,,"Mo-Su 00:00-01:00,10:00-24:00",,outside,,,,,,,,,,,,,,,,,,,,
21.4150033,41.997012,pub,Конак,,,,,,,,,,,,,,,,,,,,,,,,,,
22.455839,41.632766,bar,Diamond disco,,,,,,,,,,,,,,,,,,,,,,,,,,
21.3813769,42.0057641,pub,Pub,,,,,,,,,,,,,,,,,,,,,,,,,,
22.6389577,41.4389263,bar,Gala Live,,,,,,,,,,,,,,,,,,,,,,,,,,
22.755122,41.3830948,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.4320378,41.9957057,pub,Колектив,Kolektiv,,,,,outside,,,yes,,,Колектив,,,,,,,,,,,,,,
21.4320988,41.9956625,pub,,Pivnika Temov,,,,,,,,,,,,,,,,,,,,,,,,,
21.4340509,41.9955386,bar,Етно-бар,Etno Bar,Кеј 13 Ноември,1000,,,outside,Cкoпje,,yes,,,Etno Bar,,MK,Skopje,Gradski Trgovski Centar Skopje,Kay 13th November,,,,,,,,,
21.4342829,41.9954679,pub,Даблинер,,Кеј 13 Ноември,1000,,,no,Скопје,,no,,The Dubliner,The Dubliner,,MK,Skopje,Gradski Trgovski Centar Skopje,Kay 13th November,,,,,,no,,,
21.4341686,41.9955027,pub,Ало ало,,Кеј 13 Ноември,1000,,,no,Скопје,,no,,Cafe Alo Alo,Cafe Alo Alo,,MK,Skopje,Gradski Trgovski Centar Skopje,Kay 13th November,,,,,,no,,,
21.4345059,41.9951019,bar,,,,,,,,,,,,,,,MK,,,,,,,,,,,,
21.4352156,41.9951834,pub,Карпе дием,Carpe Diem,Кеј 13 Ноември,1000,,,separated,Cкoпje,,yes,,Carpe Diem,,,MK,Skopje,Gradski Trgovski Centar Skopje,Kay 13th November,,,,,,,,,
21.4355937,41.9950681,pub,Ирски паб Св. Патрик,St. Patrick Irish Pub,Кеј 13 Ноември,1000,"10:00-24:00, Fr-Sa 10:00-01:00",,separated,Cкoпje,wlan,yes,,,,http://www.irishpub.com.mk/,MK,Skopje,Gradski Trgovski Centar (GTC),Kay 13th November,,,,yes,free,,,,
21.4383755,41.9945181,bar,,Old lady beer bar,,,,,,,,,,,,,,,,,,,,,,,,,
21.4343506,41.9954474,pub,Casa Cubana,,Кеј 13 Ноември,1000,"10:00-24:00, Fr-Sa 10:00-01:00",28,outside,Скопје,wlan,yes,,,Casa Cubana,,MK,Skopje,Gradski Trgovski Centar Skopje,Kay 13th November,,,,yes,,no,,,
