x,y,type,name
21.41299211,41.99487,restaurant,Дукат
21.41317264,41.9948012,restaurant,Воденица
21.73027871,42.15357791,restaurant,Сателит 2000
21.73098083,42.12730386,cafe,Кеј
21.74463947,42.12164528,restaurant,Стара Бања
20.95562503,41.50499285,restaurant,Luna
22.0555791,42.1027558,restaurant,Kuklica
21.52217553,41.34357092,restaurant,Теракота
21.45268317,41.6515719,restaurant,Ribnik
21.69073165,41.8806852,fast_food,Grill Bar
21.5752234,41.99430765,restaurant,Doma
21.44148769,41.99444592,restaurant,Ресторан Кej
21.5907655,41.9908873,restaurant,Black Pearl
21.46911209,41.96726541,restaurant,Дениција
21.46933405,41.96714475,restaurant,Везилка
21.4919249,41.95195487,restaurant,Ваташа пекара
21.4259581,41.9898962,restaurant,Јавна Соба
21.4374003,41.9931176,restaurant,Kуќа
21.56400445,41.34243805,restaurant,Жито Прилеп II
21.54756071,41.35112055,restaurant,Страчатела I
21.51741435,41.3152238,restaurant,Романса
21.43724381,41.99148387,fast_food,Zlatno petle
22.35174117,41.3912335,restaurant,Белов 113
21.3908,41.9996349,pub,Кaфе бар Форца
22.0908813,41.4824606,restaurant,Пицерија Ема
21.20227505,41.21757328,restaurant,Бади
21.15712677,41.22846415,restaurant,Вила Горна Куќа
22.19305179,41.73759135,fast_food,Бамби 2
22.19685999,41.73795795,bar,Only Fools and Horses - Bar & Grill
20.96090634,41.98838453,restaurant,601
20.96082583,41.98813574,restaurant,600
20.96081418,41.98795877,restaurant,600
22.1813055,41.74802255,restaurant,Меана за Мерак
22.18368506,41.74743835,restaurant,Бисер Митре
22.1834691,41.7475759,restaurant,Ресторан Лонгуров
22.1845729,41.7472817,restaurant,Златна рипка
21.27048404,41.04109362,restaurant,Гамур
21.34056521,41.01736985,restaurant,Император
21.3905928,42.0440002,restaurant,Aktiva
21.33559661,41.0287374,cafe,Данте
21.33495685,41.03035465,restaurant,Грне
21.52714624,41.34501545,restaurant,Лаки
21.54860035,41.34339511,restaurant,Ресторан Липа ГА
21.54062715,41.34495605,restaurant,Жито Прилеп III
21.54999979,41.34920865,restaurant,Букефал (Кај Томе)
21.55500484,41.34660688,cafe,Ла Страда
21.55197545,41.34650155,restaurant,Букефал
21.55128842,41.34557015,bar,Арт Кафе - Апореа
21.5498995,41.34519145,restaurant,Гурман
21.55123569,41.34312577,restaurant,Златно Буренце
21.5510411,41.3429717,restaurant,Европска Скара
21.5490712,41.34347225,restaurant,Империјал
21.5481737,41.34274345,restaurant,Жито Прилеп 1
21.53926509,41.33830403,restaurant,Дониа
21.54754091,41.33754363,restaurant,Сонце ГА
21.55718913,41.34718912,restaurant,Македонска Куќа
21.56017914,41.34809748,restaurant,Касни Порасни
21.5672705,41.3504568,restaurant,Дион
21.43587758,42.01198493,restaurant,Golden Mili
21.42864825,42.0487648,restaurant,Imperial
21.55581164,41.34693695,restaurant,Лаки
21.41828649,41.99548424,restaurant,Ѓезме
21.418803,41.9986791,cafe,цреша бар
21.41873637,41.99902953,bar,цреша бар
21.4065102,42.00628045,restaurant,Барбакан
21.40663538,42.00637465,cafe,La Cafetaria
21.67787631,41.3706224,restaurant,Че
21.6779376,41.3704583,restaurant,Че
21.59064906,41.38422728,restaurant,Мир
21.40214667,41.9960393,restaurant,Македонска Куќа
21.54151898,41.3544851,restaurant,Бангкок Ориентал
21.54101301,41.3547217,restaurant,Панорама
21.53986945,41.3547089,restaurant,Хотел Салидда
21.4085865,42.004176,fast_food,Iva
21.43536398,42.00821148,restaurant,Dielli
21.40948495,41.9954379,restaurant,Фурна
21.40969882,41.99739755,restaurant,Сидро
21.47913725,42.0033525,restaurant,Гостилница Мерак
21.41216614,42.00482645,restaurant,4 Angeli
21.41074508,42.00603916,restaurant,Лира
21.40672623,42.00623325,restaurant,Bonimi
21.45731643,42.1140429,restaurant,квин рибник
21.4470613,42.17337915,restaurant,Hamza Brez
21.54178834,41.3341513,restaurant,Анита
21.540466,41.33933723,restaurant,Лав
21.42092515,42.00125357,restaurant,Гурмет
21.42147098,42.00140885,restaurant,Наџак
21.42207866,42.00214185,restaurant,Чамо
21.42200985,42.006134,restaurant,Уранија
21.42295696,42.0064522,bar,Маракана
21.40592315,42.01372655,restaurant,Ден и Ноќ
20.9704192,42.001684,restaurant,Arena
20.91908095,42.01108055,restaurant,Шар
20.8865121,42.0130612,restaurant,бачцло
21.42521967,41.99364805,bar,Saloon
21.42981864,41.9932494,cafe,Cafe Barcelona
21.4237388,41.9953323,restaurant,Ресторан 2 Златника
21.42429395,41.99713915,cafe,Излет
21.4234163,41.99739945,fast_food,7
21.42383021,41.99737745,fast_food,Like Gyros
21.42725107,41.99571355,restaurant,Ѕвезден Океан
21.42840055,41.99672908,pub,Custom Pub
21.43563511,42.00034889,pub,Пивница Стар град
21.71782748,42.13513363,fast_food,Максим
21.4190586,41.99242308,restaurant,Конструкта
21.42094245,41.99280735,cafe,My Space cafe
21.4379661,42.00115065,restaurant,Галерија 7
21.42355455,41.99740655,fast_food,7
21.42209352,41.99620235,restaurant,Дане
21.42209715,41.99692865,cafe,Кашмир Арт Кафе
21.42264461,41.99735685,restaurant,Керпич
21.42298059,41.99899742,restaurant,Мечос
21.42087445,42.00061105,pub,Стоби
21.42294473,41.9998185,bar,Krug
21.42461429,41.9978684,cafe,Љубов
21.42352316,41.99910328,cafe,Coffee Factory
21.42396887,41.99968945,restaurant,Sushi Ко
21.42362642,41.99986745,bar,Бастион
21.42412745,41.99983265,bar,C'est la vie
21.4242078,41.9999119,cafe,Manhattan Cafe
21.42430736,42.00002195,cafe,Juice Bar
21.42412909,42.00028165,bar,Деус
21.42433744,42.00065397,fast_food,Pepper
21.4384354,41.99683675,restaurant,Стара Куќа
21.46422471,41.98605449,cafe,Trend
21.71845068,42.13081542,restaurant,Mosha Mel
21.71875905,42.1307714,restaurant,Yard
21.42098685,41.99467605,cafe,Light Cafe
21.42125435,41.994706,cafe,Скандал
21.42220407,41.995115,restaurant,Ка
21.43924637,41.98274315,fast_food,Пицерија Ди Наполи
21.42962731,41.98912015,restaurant,Od Nas Za Vas
20.91833716,41.52115378,restaurant,House of Art
20.95156976,41.51715215,restaurant,Milenium
22.17877685,41.751555,restaurant,Ресторан Ваго
22.18997325,41.74394094,restaurant,ЗАКИ 1
22.18398342,41.7485141,restaurant,НЕЦКО 2
21.44661065,42.01114092,restaurant,Vesa
21.42710796,42.00072295,pub,Special Beer Bar COSY
21.42606673,42.00157786,restaurant,Sopotsko
21.42874335,42.00138936,restaurant,Жабаро
21.42581284,42.00349284,restaurant,Томче Софка
21.42241352,42.0013472,cafe,Синдикат
21.42224415,42.00165025,restaurant,Kancelarija
21.42228875,42.0021744,restaurant,Ganza
21.4223869,42.00227385,fast_food,Ganzoni
21.4097243,42.00961995,restaurant,Балканика
21.4194825,42.0012245,restaurant,Antica
21.41981151,42.00104315,restaurant,Skopski Merak
21.42029656,42.00091895,restaurant,Наша софра
21.42048406,42.00159005,restaurant,Дебар Маало
22.19119999,41.73735427,bar,Local Kitchen & Bar
21.45798665,42.00072185,restaurant,Смок
21.46223745,42.0030645,restaurant,Боними
21.41456934,42.00005995,restaurant,Бравос
21.39186715,42.0018539,restaurant,Ресторан 14
21.3924103,42.00170165,restaurant,Скара Бар
20.67339789,41.17519894,restaurant,Црвен Мак
20.67774221,41.17381012,cafe,Галеб
20.66895974,41.17257437,restaurant,Конак
20.66917059,41.17194479,bar,Версус
20.66820527,41.17180568,bar,Аквариус
20.67619823,41.17504291,cafe,Револушн
20.67514628,41.17494035,cafe,Албум / Наргиле
20.67588612,41.17411676,bar,Женска Плажа
20.6761793,41.17418395,restaurant,Женска Плажа
20.6761981,41.1747997,cafe,Адмирал
20.67618311,41.17487745,cafe,Синема
20.6762062,41.17494484,cafe,Стрит Кафе
20.67670245,41.17409295,cafe,Пливалиште
21.38633065,42.0055379,fast_food,Ренде
22.77081096,41.96597715,restaurant,Ресторан Македонија
22.773052,41.9642799,restaurant,Гостилница Кај Мите
21.58746175,41.9825664,restaurant,Rozenberg
21.41982235,41.98679284,restaurant,Корнер / Баба Цана
21.45989393,41.99796561,restaurant,Дојрана
21.43936436,41.98965135,restaurant,Кај Злате
21.43942939,41.9897235,restaurant,Амиго
21.4403079,41.98999165,restaurant,Калабалак
21.43693668,41.99013244,fast_food,Винчиторе Пица
21.4466299,41.9892137,restaurant,Рулет
21.44375181,42.00907663,ice_cream,Embeltorja- Слаткарница Bern
21.44524767,42.01173706,restaurant,Alba
21.44588825,42.01143808,restaurant,Erdi
21.4391941,41.98953225,restaurant,Ла Тана
21.40142545,42.0013528,restaurant,Restoran Olive
20.9012963,40.94452445,restaurant,мали рај
20.790248,41.11108879,restaurant,Kaнeo
21.37415572,41.97699834,restaurant,Св.Пантелејмон - Клет
20.67424641,41.17682027,restaurant,Драган и Јовче
20.6743721,41.176785,restaurant,Маива
20.67853125,41.17687365,restaurant,Ангела
20.67845526,41.17642157,restaurant,Антико
20.6782578,41.17626074,restaurant,Св. Никола
20.67633751,41.1758066,restaurant,13
20.67574246,41.17578026,restaurant,Буренце
20.6744981,41.17660055,restaurant,Бриони
20.6743728,41.17659421,restaurant,Св. Георгиј
20.6718638,41.17639115,restaurant,Оаза
20.65047239,41.15586751,bar,reception
21.3016377,41.9640751,restaurant,Kulla Alinea
20.79451804,41.11246652,restaurant,Дамар
20.79424763,41.11262597,restaurant,Света Софија
20.79401661,41.11248407,restaurant,Виа Сакра
20.67603935,41.17553118,cafe,Грифон
