x,y,type,name
21.4382827,41.9754208,convenience,Томи
21.4387489,41.9754943,bakery,Фарина
21.4385402,41.9758834,convenience,Тобако Томи
21.4384115,41.9761625,convenience,Жито Маркет
21.4394414,41.9777179,convenience,Mini Market
21.4443097,41.9755235,bakery,Москва
21.4423887,41.9781016,bakery,Бурекџилница Фортуна
22.7614669,41.9709544,bakery,Луна гив пекара
22.7820353,41.9737984,bakery,Лунагив
21.4861998,41.9751785,convenience,Елиса
21.5174965,41.9389912,butcher,Promes
21.5138409,41.9404605,bakery,Baba Tala
22.7728089,41.9671446,greengrocer,Градски Пазар
22.7740767,41.9669504,butcher,Зуна
22.7743844,41.9668777,bakery,Ангела
22.7798536,41.9637609,convenience,Скопјанка маркет
22.7773809,41.9663099,bakery,Луна Гив
22.775414,41.9669199,convenience,Evropa
20.8711999,41.9428516,convenience,Liza market
21.0560365,42.052108,bakery,G8
22.3349195,42.201414,bakery,Furna Vardar
22.3349584,42.2040231,butcher,Карнем
22.3356935,42.2052678,butcher,Промес+
22.3364342,42.2058039,convenience,Плод
21.4487423,42.0512339,confectionery,Ljubavi
21.4522939,42.0538936,convenience,Еци
21.4506986,42.061731,bakery,Жито Лукс
21.45066,42.0621038,bakery,Фурна
21.4507737,42.0621317,bakery,Чеган
21.443321,42.0169931,convenience,Три Трговца
22.2869626,42.1816391,bakery,Трајко
22.2865307,42.1818766,convenience,Бисер
22.2933297,42.1826982,convenience,Бисер
22.2850113,42.189067,convenience,Дако
21.7386693,42.1158085,convenience,Stena Mag
21.7125711,42.1333768,convenience,Musli Market
21.7092984,42.1381664,convenience,Arma Market
21.7246883,42.1328075,bakery,Fresh
21.7247878,42.1326278,bakery,City Bakery
22.0046288,41.4327823,convenience,CodEx - computers
22.0132241,41.4341081,butcher,Mesarnica MEGA
22.0168577,41.4345745,butcher,Javor
21.3750902,42.0060976,bakery,Лепа и Русе
21.3719748,42.0071667,convenience,DIEM-GP
21.371862,42.0071939,convenience,Алберто
22.3332827,41.8820514,convenience,GALIJA :D
22.5146289,41.881051,bakery,Nasev
22.5150152,41.8821533,convenience,Mak Progres
22.1940258,41.7378072,bakery,Балкан Лукс
22.1928309,41.7391749,bakery,М-Десерт
22.8139526,41.3798835,alcohol,Sulo Vanco Janky
22.8136456,41.3812351,convenience,Колид
22.1911819,41.7471788,butcher,Дени касапино
22.1948806,41.7463414,bakery,Ребус
21.2165395,41.5068524,butcher,Месарница Мармес Деликатес
21.2163587,41.5109889,bakery,Лука
22.0749444,41.2453926,beverages,КОДИНГ-ГОРСКА Дооел
21.4276102,41.9947556,convenience,Гранап
21.4283201,41.9948528,coffee,Coffee & Friends - Палома Бјанка
21.4285322,41.9948662,confectionery,Evropa - Centar 1
21.4292661,41.9924211,bakery,Pekara Bageti
21.4309247,41.9936634,beverages,Gnezdo
21.4307088,41.9946969,bakery,Специјал (Рекорд)
21.4276677,41.996427,bakery,Коки
21.3923668,42.0424608,convenience,Ефтинија
21.4053391,42.0027574,convenience,Mena
21.4054411,42.0027484,convenience,Stokomak
21.4074367,42.0031701,convenience,ДИЕМ-ГП
21.4079208,42.0032403,bakery,Pezogo
21.3597368,42.0065536,bakery,Охридска Банка-Ѓорче Петров
21.3655868,42.0063093,convenience,Gigo
21.3659086,42.0077722,convenience,Kam Market
21.3644066,42.009279,seafood,Ribarnica
21.3703234,42.0047229,bakery,Building 31
21.3688239,42.0078582,convenience,Asura Market
21.3515617,42.0210652,bakery,Воденица
21.3532671,42.0240392,greengrocer,Грозд
21.3537042,42.0235026,convenience,Кала
21.3624474,42.018529,beverages,КОДИНГ-ГОРСКА Доол
22.1922843,41.7376531,butcher,Бране Касапино
22.1926047,41.7369559,bakery,Ванила
22.1931835,41.737098,confectionery,Слаткара МАКО
22.1931048,41.7372358,confectionery,Слаткара ЈА-ЈА
21.4010765,42.0020133,bakery,Cake & Bake
21.4006019,42.0029128,greengrocer,Фрути Фреш
21.3990578,42.0038529,confectionery,Канела
21.4021041,42.0066913,bakery,Kozle
21.5546334,41.3440741,bakery,Шито Прилеп
21.55419,41.3448602,confectionery,Слатка
21.5645781,41.3427965,bakery,Наташа
20.6725856,41.1764165,convenience,Бабуш
20.6761993,41.1783823,convenience,Ramstore
20.8163659,41.0265496,alcohol,sklep spożywczy
20.8095515,41.1061074,bakery,Zito Leb
20.8084947,41.112055,bakery,Жито леб
20.8126344,41.1242158,convenience,Kiosk
21.3194827,41.0244995,bakery,Џеко
21.4425065,42.0077581,bakery,Солунска
21.5043477,41.9939066,convenience,Кам Маркет
21.5045452,41.9947806,convenience,Hedi's Market 657
21.5040709,41.9957633,bakery,Фурна Облат
21.5043707,42.0036376,convenience,Стокомак
21.5046482,42.0042015,convenience,Дали-Пом
20.90945,41.792788,confectionery,Рекорд
20.9075658,41.7938913,tea,Mediteran Çay Evi
20.8884597,41.8539722,bakery,Аграр Топлица
21.5851057,41.9913718,convenience,Дарксофт Компјутери
21.0115591,41.0891716,confectionery,Сагар
21.0119661,41.0895488,confectionery,Слаткарница
21.0132578,41.0908908,greengrocer,Мини зеленчук и овошје
20.8000105,41.1135156,bakery,Zhito Leb
20.8012709,41.1132188,bakery,Вегера
20.800094,41.115841,bakery,Bakery
20.8022026,41.1167063,bakery,Zhito Leb
22.460489,41.637701,bakery,Karpos
22.464603,41.63414,bakery,Makedonija (Sus mus)
22.464821,41.634101,bakery,Matej
22.46124,41.63896,bakery,Makedonija (Sus mus)
22.1921685,41.7384084,bakery,Сокак
22.2420807,41.4091129,convenience,Sani
22.2436716,41.4097893,greengrocer,Пиљaрa Пaмпи
21.4025784,41.9930311,bakery,Спаткарница Канела Прима
21.4033892,41.9952408,greengrocer,Струмички лубеници - Watermelons
21.4095619,41.9958268,bakery,Златен Клас
21.4086921,41.996888,butcher,Скара на кило
21.4308935,41.986975,bakery,Вегера
21.4314029,41.9870802,bakery,Tony's Bakery
21.4360635,41.9858897,convenience,ДА МИ
21.4367041,41.9874058,confectionery,Evropa - Centar 2
21.4328019,41.9947174,bakery,Bakal bakery Cafe
21.4338499,41.9944492,confectionery,Evropa - Centar 3
21.432686,41.9953181,bakery,Breadway Bakery
21.4329109,41.995252,bakery,A&M Bakery
21.4357066,41.9994752,confectionery,Rigara
21.4373116,42.0016383,bakery,Турска баклава „Ангела Меркел“
21.4386895,42.0021614,confectionery,Evropa - Cair
21.4524338,41.987517,convenience,Бомбоњера Кики
21.4546638,41.988117,bakery,ваташа
21.3162182,41.9923852,convenience,Ta2
21.4940611,41.9978855,convenience,ТПД Керол
21.4638361,41.9991135,confectionery,Evropa - Gazi Baba
21.4607538,42.0034245,bakery,Млечен Ресторан Исидора-Даниел
21.4615578,42.0096126,convenience,Ива
20.9567958,41.9916843,convenience,Баукон Бауцентар
20.9601059,41.9925841,bakery,Midpoint
20.9810165,41.9947408,bakery,G8
20.9901972,42.005498,bakery,Eni Sweet Shop
21.0823552,42.1025828,bakery,Mlin Dobroste
21.3717776,42.003998,bakery,Krofnite od Hrom
21.3732237,42.0043208,bakery,Kam market
21.411622,41.995732,confectionery,Канела
21.4155593,42.0038171,convenience,Koki
21.388728,41.9945528,convenience,Mak Reform Market
21.3945748,41.9949944,convenience,Stokomak
21.3946356,41.9993115,convenience,TED
21.3900483,42.0009355,bakery,Специјал - Тафталиџе
21.3871902,42.0039263,confectionery,Палма
21.3818221,42.0058308,convenience,Ралекс Маркет
21.3836919,42.0074692,bakery,Special
21.3229071,41.9949146,convenience,Ta2 Gold Market
21.322989,41.9961066,convenience,Ta2
21.3246903,41.9972876,convenience,Ta2
21.3252696,41.99775,convenience,Ta2
21.3263168,41.9986909,convenience,Ta2
21.3268253,41.9991055,convenience,Ta2
21.3268682,42.0000224,convenience,Ta2
21.3266966,42.0002456,convenience,Ta2
21.3276407,41.9997513,convenience,Ta2
21.32866,41.9998709,convenience,Ta2
