x,y,type,name
20.95250073,41.51860935,convenience,Makpetrol
21.40024207,42.00768255,convenience,Makpetrol
21.44272503,42.00580496,convenience,Amanos
20.74455835,40.91494125,convenience,Маркет Св. Наум
22.19781066,41.74231207,greengrocer,Градски Пазар
22.19962716,41.73784498,greengrocer,Стар Пазар
22.7784699,41.9635057,convenience,JTD Klas
20.96032674,41.98680399,convenience,Mini Market
21.4625798,42.00080572,convenience,Лукоил
21.42051673,41.99224021,bakery,Vegera
21.39410269,41.99358365,convenience,Momo Market
21.41347224,41.9988412,bakery,Златен Клас
21.72920512,42.13480595,convenience,Super Kit-Go
21.37628951,42.0062074,convenience,Макпетрол
21.37593428,42.0071241,bakery,Маки
21.41771865,42.0001483,confectionery,Слаткарница Апче
21.42028185,41.993468,convenience,Kiosk
21.50574385,42.0039273,pastry,Delicia
21.42362642,41.99986745,pastry,Бастион
21.4225483,41.9965991,convenience,Драгстор Бети
21.39599771,41.99444185,convenience,Макпетрол Козле
21.41908924,41.98952252,convenience,Mini Market Non-Stop
21.4282462,41.984092,convenience,Гиго
21.46706756,41.97830619,convenience,Макпетрол
21.4656778,41.97900305,convenience,Макоил
21.72017139,42.13117455,bakery,Gradska pekara
21.41443988,42.000093,confectionery,Mozard
21.38938339,42.005033,convenience,Mini Market
21.452808,42.01966745,bakery,Фурна Диме
21.44476429,42.0122406,bakery,Фурна Чаир
21.54756071,41.35112055,confectionery,Страчатела I
21.4260809,42.00110532,convenience,Дисконт
