x,y,type,name
21.6178398,41.9371567,supermarket,Леон
21.5984638,41.9644066,supermarket,Debi
21.5073363,41.9382051,supermarket,Гиго Трејд
21.5071218,41.9384126,supermarket,Кам
21.5103158,41.9392257,supermarket,Вајота 5
21.5291548,41.9310608,supermarket,Вајота 1
21.513671,41.9394701,supermarket,Tinex Discount
21.5138463,41.9396863,supermarket,Kam
21.5230194,41.9370886,supermarket,Вајота 2
21.4199718,41.9929149,supermarket,Тинекс
21.4207815,41.9948735,supermarket,Веро 5
21.4175012,42.0007316,supermarket,КАМ
21.4220152,41.9990831,supermarket,Tinex
21.4233757,41.9983625,supermarket,Kapael Tobacco
21.4010157,41.9938597,supermarket,Кам маркет Козле
21.4085105,41.9972875,supermarket,Рептил
21.3762625,42.0022775,supermarket,Tinex
21.3340183,42.0078991,supermarket,Kipper
21.3831193,42.0050579,supermarket,Фреш маркет Бојди
21.3832243,42.0050437,department_store,PAMS Shoe Store 2
21.3818169,42.0067318,supermarket,Tinex
21.3842555,42.0079128,supermarket,Гранап
21.3922837,42.0048803,supermarket,Ramstore
21.393054,42.0065872,supermarket,Vero
20.9583245,41.9991961,supermarket,БЕРО - ЖАМБО
20.9589237,41.9990785,supermarket,JYSK
20.9715177,41.9979362,supermarket,Tendjerinja tetovo
20.9786298,41.993755,supermarket,продавница
20.9710281,42.0084835,supermarket,Tinex tetovo
20.9790915,42.0050636,supermarket,Кипер Маркет
20.979931,42.0054756,supermarket,Кам Маркет
20.9741832,42.0093957,supermarket,Рамстор 2 Тетово
20.9903256,42.0054564,supermarket,Ramstore
20.9778769,42.0168566,supermarket,ZEC Electronics Tetovo
22.7727191,41.96422,supermarket,Жито Маркет
22.7721168,41.9648869,supermarket,Извор Маркет
22.7713264,41.9654181,supermarket,Кит-Го Супермаркет
22.775244,41.9670758,supermarket,Кит-Го Супермаркет
22.8019192,41.9663717,supermarket,Mederevec (Mini Market)
22.804392,41.967327,supermarket,Стрела Пром
22.7799853,41.9680062,supermarket,Коста груп
22.9190506,41.3740068,supermarket,Supero
22.6294437,41.4384422,supermarket,Kit-go market
22.635881,41.4335847,supermarket,Djuli 2
22.6426896,41.4364848,supermarket,Zdavec strumica
22.6390034,41.4389708,department_store,Global Trade Center
22.6414839,41.4382823,supermarket,Tinex
22.6419646,41.43816,supermarket,Horizont
22.6442899,41.4317489,supermarket,Markator magacin
22.647951,41.4302406,supermarket,Kis 2
22.6446147,41.4331994,supermarket,КИТГО Маркет
22.6519392,41.4324702,supermarket,Zdravec
22.6444715,41.4385011,supermarket,Kisi market 1
22.6595336,41.4401622,supermarket,Koda Magacin
22.6335517,41.4422023,supermarket,Kis 4
22.6408136,41.445272,supermarket,Zendolino 8 strumica
22.6485615,41.4409897,supermarket,Technomarket
22.6513455,41.4415567,supermarket,My Market
22.6513453,41.441659,supermarket,Kisi 5 market
22.6528305,41.4463225,supermarket,Roko 2000
22.8153569,41.3812029,kiosk,Dana
20.7956761,41.1204424,department_store,Super market
22.1994144,41.7373008,supermarket,ХИТ Маркет
22.1997569,41.7386458,supermarket,ХИТ Супермаркет
22.2004899,41.7385684,supermarket,КИТ ГО Супермаркет
22.1902158,41.7379576,supermarket,Грозделино
