x,y,type,name
21.4448074,41.9728434,cafe,Гет Кафе
21.4385091,41.9787578,restaurant,Ресторан Кум
21.4440848,41.9754573,bar,Игротека Смајли
21.4438183,41.9768256,restaurant,Журнал
21.4444199,41.9768128,cafe,63
21.4455687,41.9710708,restaurant,Ресторан Трпеза
21.4456656,41.9732771,cafe,Bass Cafe
21.446234,41.9734649,cafe,Quatro Caffe
21.4456487,41.9775109,restaurant,Ексклузив
21.4212497,41.9495659,restaurant,Мулино Гарден
21.4093282,41.9748528,restaurant,бимекс
20.7206671,40.9030442,restaurant,Kashta
20.7208697,40.9031428,restaurant,Dallga
20.7212838,40.9031754,restaurant,Sirena
20.9144193,40.9390733,restaurant,Beach Bar Mystic
20.915975,40.9383195,bar,Beach Summer Club Bar Delirium
20.7819982,40.9615847,restaurant,St. Tropez
20.7824024,40.9617356,restaurant,Mermaid Terrace
20.7833664,40.9621226,restaurant,Saint Tropez
20.8146854,40.9671526,drinking_water,KORITA
20.9215793,40.8831747,restaurant,Restaurant Vasili
22.7736839,41.963414,restaurant,Gostilnica Zvon-Trejd
22.772658,41.9641901,restaurant,Ресторан Трла
22.7723271,41.965006,drinking_water,Фонтана
22.7727088,41.9645865,drinking_water,Фонтана
22.7710179,41.9653589,drinking_water,Фонтана
22.7714652,41.9655104,restaurant,Пицерија Палма
22.7725965,41.9663868,drinking_water,Фонтана
22.7729809,41.9663111,restaurant,Пицерија Iceberg
22.7733594,41.9652916,drinking_water,Фонтана
22.7742657,41.9654757,restaurant,Две Липи
22.7727421,41.9665628,restaurant,Антика
22.7732345,41.9664629,restaurant,Вигор
22.7738953,41.9665385,bar,Sky Coffee
22.7743723,41.9671309,restaurant,Кај Бубето
22.7756064,41.9663251,drinking_water,Фонтана
22.7756155,41.9667157,restaurant,Панорама
22.7757541,41.9669895,bar,Apolon
22.7757929,41.9669685,cafe,Apolon
22.775975,41.9670002,restaurant,Ресторан Либеро
22.7765278,41.9665702,fast_food,Анкет
22.7771972,41.9664561,fast_food,Сиан
22.7773156,41.9671248,biergarten,Валиум
22.7772992,41.9671423,cafe,Валиум
22.7773408,41.9671407,bar,Валиум
22.7774699,41.9661844,fast_food,Буцко - Бурекчилница
