x,y,type,name
20.8636388,41.9439294,bar,Kafe te mullajni
20.927576,41.9386572,bar,Sinican
22.0117213,41.4336468,pub,Toskano
22.0116649,41.4348833,bar,Energi's
22.0143629,41.4332378,bar,Kaj Roka
21.7833196,41.717557,bar,Езе Бар
21.4711307,41.9830723,bar,Coffeelix
21.4755669,41.9799593,bar,Игротека Be Happy
21.4762981,41.9815558,bar,Игротека Чекорче
21.4868617,41.9834046,bar,Игротека Вини Пу
21.4295835,41.9932203,bar,GastrotecaSiesta
21.4290413,41.9947622,bar,Centar Bar
21.426176,41.9955629,pub,Piazza Liberta
21.4268984,41.9964359,bar,Mr. Jack
21.4302534,41.9957302,pub,London Pub
21.4061819,42.0062605,bar,Minus Eden
21.4138028,41.9947703,bar,нола Бар
21.4147832,41.9964357,pub,Дринкерс Парадајз
21.4150033,41.997012,pub,Конак
22.455839,41.632766,bar,Diamond disco
21.3813769,42.0057641,pub,Pub
22.6389577,41.4389263,bar,Gala Live
21.4320378,41.9957057,pub,Колектив
21.4340509,41.9955386,bar,Етно-бар
21.4342829,41.9954679,pub,Даблинер
21.4341686,41.9955027,pub,Ало ало
21.4352156,41.9951834,pub,Карпе дием
21.4355937,41.9950681,pub,Ирски паб Св. Патрик
21.4343506,41.9954474,pub,Casa Cubana
21.4343571,41.9973371,pub,Lounge Bar Divan
21.4349757,41.9974686,pub,Lounge Bar Divan
21.4358564,41.9993401,bar,Менада
21.4363148,41.9996587,bar,tavce gravce
21.4358296,41.9998288,bar,Rakija Bar
21.4367578,41.9999897,bar,beer cafe
21.4369808,42.0001669,bar,Клуб Капан Ан
21.4378235,42.001291,bar,Syri
21.3602983,42.0110921,bar,КАМИН КАМА
21.3688665,42.0078535,bar,Hazard Club
22.86112,41.70425,pub,Јуовец
22.8525277,41.7103402,bar,Калипсо
22.5103667,41.8881131,bar,Bife Mal Minhen
22.5114929,41.8903339,bar,Bife Mal Minhen
21.4239699,41.9981195,pub,Паб Порта
21.4268797,42.0007066,bar,Thirio
21.4264446,42.0068068,bar,Bar Reka
21.4273688,42.0062927,bar,Брик бар
22.1942983,41.7382806,pub,Square pub
22.1957776,41.7389133,bar,Версај
22.1958272,41.7389273,bar,Кафе-Бар Марсеј
22.1958775,41.7389458,bar,Кафе бар Карма
21.1755333,41.2330427,pub,Бифе
21.3352456,41.0275558,pub,Бурбон Стрит
21.3337145,41.0286733,bar,Порта Џез
21.4204573,41.9989335,pub,Браво
21.4211669,42.0004422,bar,# hash bar
21.4175412,42.0011509,pub,Кафе Кино Карпош
21.4216722,42.0021654,bar,Kaldrma
21.4217791,42.0022762,bar,Van Gogh
21.423451,42.0002331,bar,Radio bar
21.4235498,42.00231,bar,Speakeasy
22.1921751,41.7368665,pub,Даблин
21.4661079,41.9937893,bar,Bar
21.441738,41.99462,bar,samocod
21.446918,41.991008,bar,Club Colloseum
21.4614608,42.002646,bar,Ле Петит
21.4542682,41.9901685,bar,Игротека Тиквичка
20.8006878,41.1150114,pub,Irish Pub
20.8027449,41.1126013,bar,Connect
20.7161824,41.632758,pub,Галичко Бачило
20.7329999,41.641262,pub,Старото Бачило
20.6798797,41.1742024,bar,Metropolis
20.6801971,41.176543,pub,Irish Pub The Harp
20.9080722,41.7932482,bar,Loune Bar Fantastica
20.8042407,41.0983462,bar,Ambrosia
20.8049971,41.0999773,bar,Kadmo Beach Club
20.8059198,41.1010587,bar,Cuba Libre Beach Club
20.8066006,41.1080463,bar,Pardise
20.8056768,41.1090118,pub,Irish Pub Dublin
22.1818453,41.9940411,pub,Irish Pub Belfast
21.4106644,42.0053295,bar,Tesla Bar
22.5900747,42.0229302,bar,Hawaii Lounge Bar
22.7738953,41.9665385,bar,Sky Coffee
22.7757541,41.9669895,bar,Apolon
22.7773408,41.9671407,bar,Валиум
20.915975,40.9383195,bar,Beach Summer Club Bar Delirium
21.4440848,41.9754573,bar,Игротека Смајли
21.7055087,42.1322787,bar,eliba lounge bar
21.704157,42.1373364,bar,Kumanovo
21.7041267,42.1375281,bar,adra
21.7162124,42.1329068,pub,Art Cafe CARIGRAD
21.7176862,42.1343433,bar,city
21.7197998,42.1345864,bar,Revolution
21.7174092,42.1366097,bar,Касапски круг
21.7190616,42.136391,bar,Клуб
21.7192653,42.1366237,pub,W2
21.7187986,42.1373298,pub,Тунел
21.7266326,42.1355332,bar,Lollipop
